file_name,start_time,end_time,max_angleDiff,response
S4530001,115.8,122.4,4.2728,No
S4530001,242.24,249.16,3.1752,No
S4530001,401.8,409.36,3.3576,No
S4530001,513.36,517.36,2.5796,No
S4530002,91.12,96,2.238,No
S4540003,241.56,247.1,3.4498,No
S4540003,347.2,350.2,4.417,Yes
S4540003,453.52,459.7,3.9806,No
S4540003,465.52,470.38,3.9806,No
S4540003,544.4,548.64,2.12,No
S4540005,91.26,96.24,4.1566,No
S4540005,184.1,188.3,2.131,No
S4540005,284.9,288.36,5.9814,Yes
S4540005,390.72,394.2,5.5992,Yes
S4540005,493.84,499.84,5.5586,No
S4540005,506.5,508.7,5.5586,Yes
S4540006,65.6,70.6,4.3476,No
S4540006,77.4,82.46,4.3476,No
S4540006,159.12,162.8,3.0744,No
S4540006,256.32,262.84,4.19,No
S4540006,268.9,274.4,4.19,No
S4540007,91.72,100.4,4.4108,No
S4540007,112.5,117.32,3.21,No
S4540007,191.48,195.8,2.32,No
S4540007,296.08,301.08,6.227,Yes
S4540007,407.4,411.4,6.1348,Yes
S4540007,524.36,531,3.3848,No
S4540007,536.6,538.8,5.3848,Yes
S4540009,101.5,108.76,2.5252,No
S4540009,112.6,116.5,1.85,Yes
S4540009,135.7,139.5,2.52,No
S4540009,147,152.1,1.93,No
S4540009,248.1,252.32,2.7868,Yes
S4540009,269.8,275,1.72,No
S4540009,281.9,287.1,1.52,No
S4540009,393.56,398.6,3.7114,No
S4540009,406.9,411.9,2.714,No
S4540010,88.1,92.4,3.3364,No
S4540010,100,104.8,3.3364,No
S4540010,191.12,195.72,8.9618,Yes
S4540010,307.6,311.6,4.8826,Yes
S4540010,442.15,445.4,4.8224,Yes
S4550004,50.5,52.6,6.564,Yes
S4550004,113.6,117.16,7.5624,Yes
S4550004,175.6,177.9,6.23,Yes
S4550004,304.1,309.14,6.75,No
S4550004,430.8,436.88,5.4444,No
S4550004,444.2,448,2.21,No
S4550007,54.68,59.48,3.3258,No
S4550007,117,122.68,4.019,No
S4550007,189.56,194.4,4.1208,No
S4550007,251.28,256.28,3.6386,No
S4550008,86.1,93.04,4.3316,No
S4550008,154.24,160.2,3.3468,No
S4550008,208.4,215.76,3.353,No
S4550008,270.8,274.74,6.0276,Yes
S4550008,329.7,334.64,6.0276,Yes
S4550008,388.1,392.62,5.4804,Yes
S4550008,450.55,453.88,4.0578,Yes
S4550008,547.2,554.32,4.4034,No
S4550009,47.1,50.82,6.3742,Yes
S4550009,113.8,118.64,5.91,Yes
S4550009,221.4,228.56,4.47056,No
S4550009,285.24,292.46,3.075,No
S4550009,343.8,350.88,5.506,No
S4550009,409.12,415.76,2.9308,No
S4550009,469.5,476.96,3.3326,No
