file_name,start_time,end_time,max_angleDiff,response
S4480002,57.1,59.3,3.4952,No
S4480002,67.1,69.3,3.2,No
S4480002,76.5,80.4,3.8952,No
S4480002,194.8,196.2,2.3,No
S4480002,320.3,323.4,5.4,No
S4480002,330.8,333.6,4.1,No
S4480002,341.88,345.12,4.9168,No
S4480002,350.8,353,5.8,Yes
S4480002,476.3,479,2.2,No
S4480002,488.6,491.3,2.4,No
S4480002,499.1,501.9,1.5,No
S4480002,509.1,510.8,2.2,No
S4480002,526.3,528.2,3.8,Yes
S4480003,198.1,200.1,2.1,No
S4480003,210.3,212.6,5.6,Yes
S4480003,349.5,353.84,3.7926,No
S4480004,34.5,37.3,1.1,No
S4480004,45.7,49.1,1.3,No
S4480004,141.2,146.2,5.3,No
S4480004,157,162,4.7,No
S4480004,292.4,294.7,5.6,Yes
S4480004,398.1,400.4,5.4,Yes
S4480004,524.6,527.4,5.7,Yes
S4480006,78.4,80.1,4.3,Yes
S4480006,205.5,208.3,3.5,Yes
S4480006,359.1,361.6,3.2,Yes
S4480006,477.8,481.8,3.4,Yes
S4490003,136.1,138.9,4.6,Yes
S4490003,166.4,168.6,3.4,Yes
S4490003,193.4,196.2,3.7,Yes
S4490003,222,224.2,3.85,Yes
S4490003,269.7,272.5,5.4,Yes
S4490003,308.5,310.7,3.2,Yes
S4490003,342.2,344.5,4.5,Yes
S4490003,484.5,486.5,2.2,Yes
S4490003,528.6,532,3.1,Yes
S4490005,40.1,41.8,5.7,Yes
S4490005,162.1,163.3,4.8,Yes
S4490005,285.1,287,2.5,Yes
S4490005,497.5,498.6,3.6,Yes
S4490006,54.7,57,6.3,Yes
S4490006,390,394,6.1,No
S4490006,433.4,436,5.9,No
S4490007,50.2,53.6,3.5,No
S4490007,168.3,170.5,4.6,Yes
S4490008,94,100,6.8,Yes
S4490008,432,438,7,Yes
S4500002,55.4,58.2,4,No
S4500002,62.6,67.1,4.1356,No
S4500003,284.48,286.88,3.8168,Yes
S4500003,383.4,384.5,4.3,Yes
S4500003,471.28,474.28,5.8682,Yes
S4500005,331.6,333.6,4.0834,Yes
S4500005,437.1,438.68,3.782,Yes
S4500005,535.3,537.76,3.0182,Yes
S4500006,70.5,72.7,4.8,Yes
S4500006,170.6,173.4,6.7,Yes
S4500006,276.4,283,7.2,Yes
S4500006,392.3,394,6.28,Yes
S4500006,498,500,5.48,Yes
S4500007,46.4,48.04,3.4774,Yes
S4500007,188.3,192,4.2,No
S4500007,269.48,271.16,3.5562,Yes
S4500007,389.88,395.24,3.803,No
S4500008,148.6,150.16,8.5368,Yes
S4500008,227.12,228.9,8.5246,Yes
S4500008,238.9,240,8.45,Yes
S4500008,327.2,328.9,8.3896,Yes
S4500008,352.6,353.8,8.1,Yes
S4500008,451.04,452.4,9.2588,Yes
S4500008,461.2,463,9.56,Yes
S4500008,479,481.2,5.2,No
