file_name,start_time,end_time,max_angleDiff,response
S4560013,134.1,135.2,1.8948,Yes
S4560013,235.1,237.34,1.5538,Yes
S4560013,328.84,330.64,2.1476,Yes
S4560013,522,523.62,1.9918,Yes
S4560014,49.3,51,1.52,Yes
S4560014,147.72,150.76,1.4758,No
S4560014,274.72,278.1,1.441,No
S4560014,388.36,391.9,1.0552,No
S4560014,398,400,0.72,No
S4560016,62.88,65.9,0.7774,No
S4560016,351.4,355.8,3.116,No
S4560016,435.44,438.6,0.7714,No
S4560016,520.8,524.48,2.6784,No
S4560016,168.7,170.9,1.3,Yes
S4560016,270.9,272,1.58,Yes
S4560017,56.88,59.24,0.5466,No
S4560017,169.2,174.32,1.1656,No
S4560017,279.2,282,2.8574,Yes
S4560017,370.8,372.56,2.3862,Yes
S4560017,466.3,467.64,1.6562,Yes
S4560018,64.3,67.6,1.87,Yes
S4560018,150.9,152,2,Yes
S4560018,305.3,307.18,1.8532,Yes
S4560018,390.3,392.5,1.8452,Yes
S4560019,393.64,398,1.1384,No
S4580012,67.52,71.4,3.6378,No
S4580012,78.6,81.4,3.44,Yes
S4580012,108.5,113,3.0748,No
S4580012,355.8,360.2,2.84,Yes
S4580012,369.1,371.3,2.54,Yes
S4580012,380.7,382.9,2.95,Yes
S4580012,429.5,433,1.89,Yes
S4600002,389,391,2.6482,Yes
S4600002,506.4,509.04,1.8884,Yes
S4600003,17.76,19.9,2.7774,Yes
S4600003,96.28,99.72,3.5554,Yes
S4600003,176.2,179.42,3.611,Yes
S4600003,258.62,260.32,4.1974,Yes
S4600003,338.88,341.18,3.4844,Yes
S4600003,415.88,418.88,3.9774,Yes
S4600003,490.7,492.92,4.0676,Yes
S4600005,130.68,134.6,1.4326,No
S4600005,207.92,210.2,2.9498,Yes
S4600005,289.56,292.96,3.1082,No
S4600005,387.56,392.52,2.0384,No
S4600005,461.2,464.4,2.2636,No
S4600005,543.6,547.64,1.3968,No
S4600010,74.48,75.68,1.4348,No
S4600010,252.32,255.32,3.1802,Yes
S4600011,109.5,110.7,2.6162,Yes
S4600011,401.16,403.16,4.1888,Yes
S4600011,477.24,479.24,3.7994,Yes
S4600016,18.76,20.88,2.6488,Yes
S4600016,338.3,340.4,2.2282,Yes
S4600017,228.16,232.74,2.1714,No
S4600017,324.92,328.3,1.7962,No
S4600017,478.8,482.4,1.6498,No
S4700001,137.76,142.08,3.1666,No
S4700001,287.84,288.8,4.5986,Yes
S4700001,450.84,451.84,5.6996,Yes
S4700002,227.6,232.28,0.9266,No
S4700002,373.16,377.16,1.2998,No
S4700002,546,549,1.5732,No
S4700004,70.88,72.28,2.12,Yes
S4700004,219.36,220.66,3.814,Yes
S4700004,341.72,343.72,4.251,Yes
S4700007,381.76,385.76,0.9314,No
S4700007,538.68,542.8,3.1466,No
S4700008,99.4,102.92,2.0204,No
S4700008,232.48,234.48,4.3944,Yes
S4700008,394.4,396.1,5.3274,Yes
S4700009,5.4,7.1,1.54,Yes
S4700009,130.56,132.56,1.3644,Yes
S4700009,275.12,277.12,1.861,Yes
S4700009,409.6,412.92,2.2524,No
S4700009,549.08,553.04,3.3064,No
S4700010,137.68,141.7,2.2588,No
S4700010,278.24,281,3.5732,No
S4700010,422.4,423.84,3.474,Yes
S4700010,553.64,556.6,3.2812,No
S4700012,126.32,129,3.3166,No
S4700012,267.88,271,1.04,No
S4700012,420.8,421.96,3.8054,Yes
S4700014,79.16,82.1,2.9256,No
S4700014,239.4,241.1,3.29256,Yes
